SECTOR;TX_SECTOR_WORK_DESCR_FR;Sum of OBS_VALUE;Nb Actualisé
21013A51-;TOISON D'OR (AVENUE);1331;1388
21013A522;RUE D'ECOSSE;135;141
21013A612;JAMAR;77;80
21013A623;FRANCE (RUE DE);4663;4861
21013ZZZZ;COMMUNE DE SAINT-GILLES: NON LOCALISABLE DANS UN SECTEUR;2480;2585
21014A00-;PLACE SAINT-JOSSE;166;173
21014A01-;STEURS;27;28
21014A02-;CHARITE;316;329
21014A03-;MADOU;3250;3388
21014A04-;HAECHT (CHAUSSEE DE);824;859
21014A05-;HOUWAERT;1019;1062
21014A10-;SAINT-FRANCOIS;1457;1519
21014A12-;SAINT-LAZARE;302;315
21014A13-;ROGIER;67;70
21014A14-;PRAIRIE;555;579
21014A18-;JARDIN BOTANIQUE;17;18
21014A2MJ;NORD;3702;3859
21014A3MJ;MANHATTAN;4064;4237
21014A41-;BOSSUET;54;56
21014ZZZZ;COMMUNE DE SAINT-JOSSE-TEN-NOODE: NON LOCALISABLE DANS UN SECTEUR;792;826
21015A00-;COLIGNON (PLACE);310;323
21015A01-;VAN YSENDYCK (RUE);465;485
21015A021;HOUFFALIZE (PLACE);42;44
21015A03-;JOSAPHAT (RUE);394;411
21015A04-;L'OLIVIER (RUE);125;130
21015A05-;ROYALE SAINTE-MARIE (RUE);816;851
21015A101;GARE;127;132
21015A111;MAETERLINCK;237;247
21015A12-;HUART HAMOIR (AVENUE);240;250
21015A13-;PORTAELS (RUE);67;70
21015A142;SAINTE-FAMILLE;72;75
21015A152;PR. ELISABETH-NORD;283;295
21015A20-;HELMET;262;273
21015A21-;GUIDO GEZELLE (RUE);32;33
21015A22-;MARBOTIN A. (RUE);175;182
21015A231;J. BLOCKX (RUE);106;111
21015A24-;WAELHEM (RUE);1353;1410
21015A272;HOPITAL P. BRIEN;196;204
21015A30-;GRANDE RUE AU BOIS;85;89
21015A31-;PATRIE;378;394
21015A32-;CONSOLATION (RUE DE LA);63;66
21015A33-;BIENFAITEURS (PLACE DE);116;121
21015A34-;PAQUERETTES (RUE);14;15
21015A35-;JEAN STOBBAERTS (AVENUE);60;63
21015A36-;CAMBIER (AVENUE E.);66;69
21015A39-;JOSAPHAT (PARC);12;13
21015A40-;BRABANT (RUE DE);165;172
21015A41-;VANDERLINDEN (RUE);232;242
21015A421;PALAIS (RUE DE);1360;1418
21015A43-;GARE DU NORD;11429;11915
21015A44-;REINE (AVENUE);269;280
21015A45-;STEPHENSON (PLACE);172;179
21015A50-;OPALE;429;447
21015A51-;CERISIERS (AVENUE DES);376;392
21015A52-;LINTHOUT (RUE);628;655
21015A53-;DAILLY (PLACE);236;246
21015A54-;EMERAUDE (AVENUE);437;456
21015A612;BRICHAUT (RUE DE);151;157
21015A622;BRUSILIA;39;41
